rank,ticker,price,er_date,er_hour,beat_last_q,sp_last_q,beat_prev_q,sp_prev_q,insider_buys_60d
1,CLIR,4.550000190734863,2026-05-13,,True,80.3922,True,26.4706,1
2,VTGDF,9.999999747378752e-05,2026-05-13,,True,1807.3171,True,88.6792,0
3,LAC,5.574999809265137,2026-05-13,,True,1265.0485,True,28.401,0
4,ELUT,1.090000033378601,2026-05-14,amc,True,1136.4146,True,43.074,0
5,JTAI,6.300000190734863,2026-05-14,,True,842.6471,True,14.9366,0
6,SPCB,11.199999809265137,2026-05-14,bmo,True,778.733,True,219.3521,0
7,EPSN,6.019999980926514,2026-05-13,amc,True,414.7059,True,194.1176,0
8,SPRO,2.5350000858306885,2026-05-13,amc,True,359.8039,True,49.0196,0
9,BCHT,1.3199000358581543,2026-05-13,amc,True,328.7582,True,198.0392,0
10,TRAW,1.7899999618530273,2026-05-13,,True,150.4606,True,1082.0347,0
11,XTNT,0.5019999742507935,2026-05-13,bmo,True,100,True,296.0784,0
12,BNGO,1.2599999904632568,2026-05-13,amc,True,97.8992,True,18.3862,0
13,ISSC,21.25,2026-05-14,bmo,True,96.0784,True,200.8204,0
14,AIRI,3.0199999809265137,2026-05-14,,True,95.5437,True,28.1046,0
15,DARE,2.575000047683716,2026-05-14,amc,True,95.4669,True,23.0346,0
16,SCYX,0.7750999927520752,2026-05-13,,True,87.3452,True,16.6667,0
17,NMAX,6.409999847412109,2026-05-14,amc,True,78.2135,True,57.9832,0
18,TGL,4.177499771118164,2026-05-13,,True,67.1853,True,50.495,0
19,SUNE,1.4950000047683716,2026-05-13,,True,66.2309,True,21.5686,0
20,EWCZ,5.820000171661377,2026-05-14,,True,63.3987,True,91.4242,0
21,IVVD,1.4850000143051147,2026-05-14,bmo,True,55.2072,True,26.4706,0
22,MRKR,1.440000057220459,2026-05-13,,True,55.1346,True,73.8562,0
23,BCLI,0.6600000262260437,2026-05-13,,True,54.4004,True,49.6555,0
24,PEW,3.309999942779541,2026-05-13,amc,True,48.5149,True,98.0198,0
25,CDIO,1.8200000524520874,2026-05-13,,True,47.1678,True,83.6601,0
26,EGAN,6.900000095367432,2026-05-14,amc,True,47.0588,True,58.7302,0
27,ARX,13.359999656677246,2026-05-13,amc,True,45.6618,True,73.3333,0
28,GILT,19.549999237060547,2026-05-13,bmo,True,43.472,True,86.2745,0
29,KRNT,16.15999984741211,2026-05-13,bmo,True,41.9558,True,298.2301,0
30,GOTU,1.9450000524520874,2026-05-13,,True,41.9027,True,37.2108,0
31,CVU,3.833899974822998,2026-05-13,,True,41.4427,True,81.5182,0
32,NNE,27.040000915527344,2026-05-14,amc,True,39.3939,True,38.8281,0
33,IXHL,3.8901000022888184,2026-05-13,,True,36.5012,True,36.5012,0
34,BCAB,4.630000114440918,2026-05-13,,True,34.6405,True,10.7745,0
35,IPWR,5.480000019073486,2026-05-14,bmo,True,33.5863,True,7.7278,0
36,TBRG,25.864999771118164,2026-05-13,,True,29.0007,True,83.5628,0
37,IMUX,11.770000457763672,2026-05-13,bmo,True,27.0909,True,23.9099,0
38,INLX,7.300000190734863,2026-05-14,,True,26.4706,True,21.5686,0
39,TLPH,0.8503000140190125,2026-05-13,,True,26.4706,True,22.9692,0
40,ICU,4.869999885559082,2026-05-13,amc,True,25.2755,True,14.1914,0
41,FGI,5.849999904632568,2026-05-13,,True,24.4398,True,60.8911,0
42,PDSB,1.125,2026-05-13,bmo,True,24.3602,True,12.6838,0
43,AVAH,6.824999809265137,2026-05-14,bmo,True,23.4568,True,51.8219,0
44,LTRN,2.0799999237060547,2026-05-13,,True,23.2737,True,18.6483,0
45,ALLO,2.2950000762939453,2026-05-13,amc,True,22.9724,True,16.5569,0
46,NNVC,1.5052000284194946,2026-05-13,,True,22.9692,True,45.5338,0
47,MGNX,3.505000114440918,2026-05-13,,True,22.4022,True,153.8385,0
48,ENVX,6.885000228881836,2026-05-13,amc,True,22.1357,True,12.3905,0
