ticker,pct_chg_today,close_today,close_yesterday,gap_pct_today,open_to_close_today,intraday_range_today,vol_today,rel_vol_20_t1,vol_5d_over_20_t1,intraday_range_t1,atr_5_pct_t1,boll_width_t1,prox_52w_high_t1,ret_5d_t1,pre5_trend,pre5_pct,price_bucket
BWEN,68.47,3.42,2.03,17.24,43.7,61.57,9979864,1.91,2.06,7.94,14.78,0.38,0.507,-20.08,declining,-24.54,$1-5
AEHL,59.43,2.2799,1.43,-14.34,86.11,91.61,44995044,2.69,3.96,52.5,42.52,1.51,0.055,180.39,building,186.0,$1-5
RAASY,56.74,2.21,1.41,75.89,-10.89,29.08,18951,1.61,3.39,40.74,10.78,0.87,0.613,17.5,building,17.5,$1-5
STAK,55.83,1.7297,1.11,-3.59,61.64,79.26,10311379,0.03,0.05,7.41,9.1,0.45,0.854,16.47,building,14.43,$1-5
AMBQ,40.53,64.18,45.67,16.36,20.78,27.72,2465531,2.25,1.47,6.22,7.35,0.44,1.0,16.03,building,12.79,$20-50
BAK,26.05,4.79,3.8,8.93,15.71,19.22,7288318,0.68,0.78,5.15,5.45,0.22,0.773,-1.3,flat,-1.55,$1-5
AEVA,24.15,19.28,15.53,-1.67,26.26,25.95,3344299,1.9,1.75,25.28,15.02,0.23,0.751,-1.27,flat,1.9,$5-20
DDD,23.31,3.095,2.51,15.54,6.72,21.71,22904671,1.74,1.2,9.31,8.53,0.28,0.664,7.26,declining,-3.46,$1-5
CNCK,22.86,2.15,1.75,36.0,-9.66,24.57,50530281,1.05,0.94,10.99,8.51,0.17,0.222,-0.57,flat,0.0,$1-5
TMCI,18.56,2.3,1.94,0.0,18.56,21.13,682038,0.8,0.86,10.7,9.59,0.23,0.269,6.01,building,3.19,$1-5
SOBR,17.45,1.8087,1.54,11.44,5.4,47.39,7841515,0.07,1.35,16.05,35.27,1.96,0.398,81.18,building,10.79,$1-5
AGL,16.56,69.48,59.61,-0.75,17.44,20.3,444634,1.17,2.0,14.51,19.53,1.44,0.983,121.27,building,122.92,$50-200
ZSTK,16.13,5.4,4.65,5.86,9.7,28.82,35766,3.31,1.07,24.36,14.51,0.6,0.139,-6.44,declining,-8.82,$1-5
QUBT,15.67,11.775,10.18,24.95,-7.43,31.04,124748943,1.66,0.95,10.26,8.34,0.25,0.413,7.16,building,6.49,$5-20
